Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Naam stal;Straat + huisnummer;Plaats;KVK nummer;tel nummer ;;;;
2024;2661GT;1;1507800;Horsecenter Pirouette;Bosweg 10;Bergschenhoek;;010 521 9399;;;;
2024;2661JK;1;113000;;;;;;;;;
2024;2665HA;1;527200;;;;;;;;;
2024;2665HS;1;54000;;;;;;;;;
2024;2665KB;1;201000;;;;;;;;;
2024;2665KG;1;96900;;;;;;;;;
2024;2665KM;1;820600;Cooperatie Fair To Horses Ua;Merenweg 25;Bleiswijk;72371544;06 39712260;;;;
2024;2665KR;1;636100;;;;;;;;;
2024;2665LC;1;229000;;;;;;;;;
2024;2671MR;1;991600;;;;;;;;;
2024;2675EE;1;192600;;;;;;;;;
2024;2676BM;1;161700;;;;;;;;;
2024;2681GG;1;392300;;;;;;;;;
2024;2681LP;1;159500;Stal Zwartendijk Bv;Zwartendijk 39;Monster;27227428;0174 212 915;;;;
2024;2681MR;1;22000;;;;;;;;;
2024;2681PJ;1;720200;Manege El Sham;Madeweg 11 A;;;174245767;;;;
2024;2681RH;1;123400;Stal Vink Trotteur Francais;Boomaweg 20 A;Monster;58504834;;;;;
2024;2685BA;1;59700;;;;;;;;;
2024;2685SM;1;1005800;Manege de Arckelhoeve;Arckelweg 14;;;642982556;;;;
2024;2691KE;1;420900;Manege Noordland;Strandweg 1;;;0174-414639;;;;
2024;2691NE;1;186000;;;;;;;;;
2024;2716NH;1;789600;RC De Voorweg;Voorweg 135;;;079-3239500;;;;
2024;2716NK;1;229000;;;;;;;;;
2024;2716RB;1;586000;;;;;;;;;
2024;2717PA;1;323300;;;;;;;;;
2024;2719JW;1;559000;;;;;;;;;
2024;2719RB;1;246000;Stal Dijkshoorn;Vierde Stationsstraat 450;Zoetermeer;60344008;06 24603921;;;;
2024;2728PD;1;231000;;;;;;;;;
2024;2741GB;1;226000;;;;;;;;;
2024;2742AG;1;45800;;;;;;;;;
2024;2742JA;1;1319000;Manege Reigersburgh;Zevende Tochtweg 10;Waddinxveen;;0182 612 423;;;;
2024;2742KC;1;764340;Stal Hoogendoorn Bv;Plasweg 24 A;Waddinxveen;62268562;;;;;
2024;2742WJ;1;2244020;Stal Everse Bv;Noordeinde 142;Waddinxveen;24341584;;;;;
2024;2761DB;1;222400;;;;;;;;;
2024;2761GD;1;87700;;;;;;;;;
2024;2761JE;1;57660;;;;;;;;;
2024;2761JK;1;42400;;;;;;;;;
2024;2761KA;1;58600;;;;;;;;;
2024;2771AB;1;299500;;;;;;;;;
2024;2771RW;1;612040;Manege Bentwoud Bv;Sportlaan 3;Boskoop;29048759;0172 231 201;;;;
2024;2803HG;1;202600;;;;;;;;;
2024;2804AA;1;322640;;;;;;;;;
2024;2805HL;1;737900;;;;;;;;;
2024;2809NE;2;488280;;;;;;;;;
2024;2811NS;2;769600;Van Os Horses;Parallelweg 8;Reeuwijk;68483759;06 48403123;;;;
2024;2821LB;1;225000;;;;;;;;;
2024;2821XZ;1;231100;John Reijm;Bovenkerkseweg 112;Stolwijk;24476273;0182 341 436;;;;
2024;2825AH;1;40450;;;;;;;;;
2024;2831KA;1;1058840;;;;;;;;;
2024;2841BT;1;400500;;;;;;;;;
2024;2841LD;1;775200;;;;;;;;;
2024;2841LL;1;128900;;;;;;;;;
2024;2841LM;1;278000;;;;;;;;;
2024;2841LR;1;348320;;;;;;;;;
2024;2841LS;1;54400;;;;;;;;;
2024;2851AK;1;24000;;;;;;;;;
2024;2851EJ;1;504300;VOF Stal Tenwolde;Provincialeweg West 45;;;06-14920452;;;;
2024;2851EK;1;197000;;;;;;;;;
2024;2851LB;1;47560;;;;;;;;;
2024;2861BC;2;259200;;;;;;;;;
2024;2861ET;1;56100;;;;;;;;;
2024;2861GC;1;50400;;;;;;;;;
2024;2861LJ;1;24900;;;;;;;;;
2024;2861LM;1;303300;;;;;;;;;
2024;2871AW;1;970000;;;;;;;;;
2024;2907LE;1;2424700;Capelse manege VOF;Bermweg 153 ;Capelle aan den IJsel;;010 450 6350;;;;
2024;2909LK;1;16000;;;;;;;;;
2024;2910;1;561400;;;;;;;;;
2024;2911BB;1;73000;;;;;;;;;
2024;2911BE;1;715700;;;;;;;;;
2024;2911LB;1;1032200;;;;;;;;;
2024;2911LZ;1;208560;;;;;;;;;
2024;2912EE;1;2352000;Pensionstal Parkzicht / Stoeterij Parkzicht VOF;Hoofdweg Zuid 46;Nieuwerkerk aan den Ijsel;;0180 321 940;;;;
2024;2920;1;1834260;;;;;;;;;
2024;2921AS;1;593900;;;;;;;;;
2024;2931XD;1;136400;;;;;;;;;
2024;2935BG;1;19175;;;;;;;;;
2024;2941AR;1;8000;;;;;;;;;
2024;2941LD;1;1608100;;;;;;;;;
2024;2950;1;185750;;;;;;;;;
2024;2952AV;1;350300;;;;;;;;;
2024;2954LD;1;382700;Stoeterij Kortland;Kortland 42 c;Alblasserdam;77036913;06 24894527;;;;
2024;2960;1;3900920;;;;;;;;;
2024;2964LA;1;249000;;;;;;;;;
2024;2967GE;1;423000;Dressuurhof;Lekdijk 110;Langerak;24403772;0184 600 687;;;;
2024;2969LC;1;373800;;;;;;;;;
2024;2970;1;583800;;;;;;;;;
2024;2971AB;1;357300;;;;;;;;;
2024;2971VH;1;18955;;;;;;;;;
2024;2971XB;1;95000;;;;;;;;;
2024;2980;1;423200;;;;;;;;;
2024;2982CM;1;69800;Grevenbroek Sporthorses Bv;Kastanjelaan 26 b;Ridderkerk;24170335;;;;;
2024;2982TN;1;640000;;;;;;;;;
2024;2983GA;1;298000;Stoeterij De Woude Bv;Benedenrijweg 69 a;Ridderkerk;24297363;0180 487 170;;;;
2024;2986AA;1;96000;;;;;;;;;
2024;2986XA;1;78500;;;;;;;;;
2024;2988AD;1;242000;;;;;;;;;
2024;2988CC;1;129700;;;;;;;;;
2024;2989AL;1;53000;;;;;;;;;
2024;2990;1;4868200;;;;;;;;;
2024;2991LJ;1;530150;;;;;;;;;
2024;2992XE;1;751700;Manege Filip Dros;Kooiwalbos 1;;;010-4193188;;;;
2024;2993AT;1;52800;;;;;;;;;
2024;2995XC;1;211700;Plaizier Dressage Stables;Develweg 1;Heerjansdam;74728024;06 30401142;;;;
2024;2995XK;2;372800;Wl Plaizier Sportpaarden Bv;Lindeweg 14 C;Heerjansdam;23063725;06 55250875;;;;
2024;2995XL;1;257700;;;;;;;;;
2024;3011WD;1;184200;;;;;;;;;
2024;3041JE;1;1016100;Ruiter en ponyclub Schanswijk;Kanaalweg 82;;;010-4623504;;;;
2024;3045PX;1;316220;Ponyclub de Schieruiters;Volkelstraat 31;;;647433143;;;;
2024;3046NJ;2;172600;Lj Ursem Beheer Bv;Hofweg 63;Rotterdam;27313435;010 841 0466;;;;
2024;3046NR;1;411900;;;;;;;;;
2024;3046NW;1;113100;;;;;;;;;
2024;3053PM;1;286100;;;;;;;;;
2024;3056KA;1;8026628;;;;;;;;;
2024;3056LM;1;100860;;;;;;;;;
2024;3062CG;1;1369260;Rotterdamsche Manege 'De Jockeyclub';Kralingseweg 120;;;010-7200724;;;;
2024;3067GA;1;12400;;;;;;;;;
2024;3075ZJ;1;162800;;;;;;;;;
2024;3080;1;138620;;;;;;;;;
2024;3085BW;1;636900;;;;;;;;;
2024;3088NA;1;211000;;;;;;;;;
2024;3117ZA;1;15000;;;;;;;;;
2024;3124KA;2;1014100;;;;;;;;;
2024;3124KC;1;399700;Jg Van Der Vlugt Vof;Joppelaan 4;Schiedam;64359034;010 470 7747;;;;
2024;3124KD;1;739700;;;;;;;;;
2024;3128;1;26000;;;;;;;;;
2024;3132KB;1;27000;Stal Van Santvliet Bv;Zuidbuurt 36;Vlaardingen;64059480;;;;;
2024;3138HA;1;1643000;LR & PC Die Flardingha Ruiters;Broekpolderweg 251;;;010-4748425;;;;
2024;3141EM;1;1391600;Manege Middenhof CV;Zuidbuurt 8;Maassluis;;010 592 0455;;;;
2024;3141EN;1;471500;De Karperhoeve VOF;Zuidbuurt 5;;;010-5911454;;;;
2024;3151XV;1;887600;;;;;;;;;
2024;3155CC;1;457000;;;;;;;;;
2024;3161DS;1;86200;;;;;;;;;
2024;3161EP;1;110300;High Flown Stud;Nieuweweg 7;Rhoon;24397797;010 501 2346;;;;
2024;3161HM;1;589800;;;;;;;;;
2024;3161PH;1;42400;;;;;;;;;
2024;3181LK;1;261700;;;;;;;;;
2024;3192KA;1;965100;;;;;;;;;
2024;3195GR;1;217000;;;;;;;;;
2024;3208KJ;1;145200;Ems Trading Bv;Curieweg 11 E;Spijkenisse;77263979;;;;;
2024;3208LR;1;1169800;Manege De Ruiterhoek;Breekade 9;Spijkenisse;;0181 625 752;;;;
2024;3209BC;1;1186600;Stoeterij Willemshof;Toldijk 7 A;Hekelingen;53624637;0181 687 236;;;;
2024;3211LA;1;219800;Ge Timmer;Dankerseweg 10;Geervliet;24206066;0181 663 164;;;;
2024;3212LC;1;210400;;;;;;;;;
2024;3212LN;1;267600;;;;;;;;;
2024;3212LT;1;935000;;;;;;;;;
2024;3214LD;1;132500;;;;;;;;;
2024;3214VP;1;353700;;;;;;;;;
2024;3216LB;1;147900;;;;;;;;;
2024;3218LB;1;217500;;;;;;;;;
2024;3222EJ;1;343600;;;;;;;;;
2024;3222ER;1;622400;;;;;;;;;
2024;3223LA;1;584100;Manege Stal Flicka;Achterdijk 10;;;0181-314678;;;;
2024;3223LB;1;14000;Paulinehoeve;Betjesweg 1;Hellevoetsluis;67535089;06 34705028;;;;
2024;3223LM;1;134600;;;;;;;;;
2024;3227AG;1;176700;;;;;;;;;
2024;3227AH;1;143500;;;;;;;;;
2024;3227CC;1;103700;;;;;;;;;
2024;32289;1;232600;;;;;;;;;
2024;3231LG;1;74200;;;;;;;;;
2024;3232LC;1;127000;;;;;;;;;
2024;3233LA;2;344100;Aelbrechtshoeve;Aelbrechtsweg 10;Oostvoorne;65180496;06 54660267;;;;
2024;3234KR;1;1449800;;;;;;;;;
2024;3235KA;2;161900;;;;;;;;;
2024;3235KK;1;73400;;;;;;;;;
2024;3235KL;1;983900;;;;;;;;;
2024;3235KP;1;446500;Stoeterij Koningshoek;Natersedijk 1 a;Rockanje;24325816;06 13847992;;;;
2024;3235LA;1;70780;;;;;;;;;
2024;3235LP;1;259800;;;;;;;;;
2024;3235NG;1;59800;;;;;;;;;
2024;3235NJ;1;30000;;;;;;;;;
2024;3235NT;1;70500;;;;;;;;;
2024;3235NW;1;256600;;;;;;;;;
2024;3235NX;2;399600;;;;;;;;;
2024;3235XH;2;190700;;;;;;;;;
2024;3237KL;1;772200;;;;;;;;;
2024;3237LA;1;216200;;;;;;;;;
2024;3238LC;1;1645300;P De Ronde;Meeldijk 1;Zwartewaal;24198953;0181 665 077;;;;
2024;3238LH;2;298800;;;;;;;;;
2024;3238LS;1;357200;;;;;;;;;
2024;3241LL;1;10200;;;;;;;;;
2024;3243AC;1;639700;;;;;;;;;
2024;3243LE;1;905800;Manege Oostmoer;Oostmoersedijk 2 A;;;0187-611242;;;;
2024;3244AN;2;261900;Bouhuisen Sporthorses;Molendijk 116 a;Nieuwe-Tonge;74942840;06 10931939;;;;
2024;3245LR;1;440700;Maatschap Van Eck Bestman;Kraaijensteinsedijk 16;Sommelsdijk;24476636;06 29040167;;;;
2024;3245NC;1;136200;;;;;;;;;
2024;3247LD;1;95200;Awb Paardenfokkerij Bv;Oost Havendijk 24;Dirksland;52582949;;;;;
2024;3248BR;1;328600;;;;;;;;;
2024;3253KB;1;885400;;;;;;;;;
2024;3255LL;1;32400;Loonbedrijfveebedrijf Tieleman Bv;Noordlandsedijk 1 a;Oude-Tonge;54118913;0187 657053;;;;
2024;3255LM;1;600900;Anicare Vof;Oostendesedijk 9;Oude-Tonge;64090396;0187 619080;;;;
2024;3255LX;1;40000;;;;;;;;;
2024;3258LN;1;396600;;;;;;;;;
2024;3261LG;1;5000;;;;;;;;;
2024;3262BB;1;119100;;;;;;;;;
2024;3262BH;1;333500;Stal Kramer;Zinkweg 272;Oud-Beijerland;23083469;06 46264441;;;;
2024;3263AP;1;940700;Coomans Holding Bv;Binnenpad 257;Oud-Beijerland;59771674;;;;;
2024;3263RA;1;916600;;;;;;;;;
2024;3264LT;1;783800;;;;;;;;;
2024;3271LD;1;208400;;;;;;;;;
2024;3273AZ;1;283800;;;;;;;;;
2024;3273LM;2;891100;Manege De Flemming;Stougjesdijk 83 A;;;0186-571854;;;;
2024;3274KD;1;475500;;;;;;;;;
2024;3274NA;1;189600;;;;;;;;;
2024;3281KN;1;96820;;;;;;;;;
2024;3281KV;1;310400;;;;;;;;;
2024;3281LT;1;120800;;;;;;;;;
2024;3284KR;1;175100;Maatschap Van Hilten;Nieuwendijk 8;Zuid-Beijerland;73343455;;;;;
2024;3284LJ;1;505900;;;;;;;;;
2024;3284LR;1;956800;Manege de Mustang;Schoutsdijk 22;;;0186-661557;;;;
2024;3286LC;1;38100;;;;;;;;;
2024;3291CE;1;233300;;;;;;;;;
2024;3291LJ;1;511080;;;;;;;;;
2024;3291LM;1;220000;Pensionstal Overwater;Oudendijk 11;Strijen;60123362;;;;;
2024;3292LA;1;531900;;;;;;;;;
2024;3311JG;1;265600;;;;;;;;;
2024;3317JP;1;642600;;;;;;;;;
2024;3328AS;1;34000;;;;;;;;;
2024;3328LE;1;167520;;;;;;;;;
2024;3329KA;1;251100;;;;;;;;;
2024;3329KH;1;356600;;;;;;;;;
2024;3329KM;1;1200500;HC Dordrecht;Oude Veerweg 1 A;;;786181456;;;;
2024;3329KS;1;12000;Stal De Elzen;Van Elzelingenweg 17;Dordrecht;66107016;;;;;
2024;3329KT;1;791300;De Randhoeve;Wieldrechtse Zeedijk 4;Dordrecht;75044994;;;;;
2024;3329LA;1;893300;;;;;;;;;
2024;33334;1;70900;;;;;;;;;
2024;3334LB;1;148800;;;;;;;;;
2024;3335LD;1;288000;Van Gilst;Kijfhoek 35;Zwijndrecht;24453946;;;;;
2024;3335LJ;2;1670600;RSV De Hoge Devel;Munnikensteeg 15;;;078-6100813;;;;
2024;3343LE;1;65800;;;;;;;;;
2024;3355PM;1;598700;;;;;;;;;
2024;3363WB;1;235400;;;;;;;;;
2024;3364AK;1;894400;Stal Alblas;Parallelweg 19 D;;;184419733;;;;
2024;3364BC;1;2946120;Stoeterij Black Horses Bv;Kweldamweg 8;Sliedrecht;54105889;0184 208 520;;;;
2024;3366BE;1;92200;;;;;;;;;
2024;3372DV;1;1046600;JGD stables;Watertoren 29;;;06-23430432;;;;
2024;3373LA;1;572200;;;;;;;;;
2024;3381GC;2;426000;Stal Vonk;Binnendamseweg 18;Giessenburg;30274641;;;;;
2024;3381JR;1;348900;Hengstenhouderij Landzicht Bv;Neerpolderseweg 73;Giessenburg;11060036;;;;;
2024;3381JT;1;97800;;;;;;;;;
2024;3381KS;1;229600;;;;;;;;;
2024;3401NT;1;99300;Achtersloot Stables;Achtersloot 65;IJsselstein;30118859;;;;;
2024;3401VA;1;549900;Stal Van Vliet;Lage Dijk-Noord 28;IJsselstein;73587729;;;;;
2024;3402PH;1;157000;;;;;;;;;
2024;3405CJ;1;238400;;;;;;;;;
2024;3411NB;1;90000;Paardenrusthuis Jakari Vof;Tiendweg 12;Lopik;53817540;;;;;
2024;3417BN;1;353800;Stal Centaurus;Blindeweg 3;Montfoort;53386345;;;;;
2024;3417BR;1;452060;;;;;;;;;
2024;3417MC;1;89000;Swi Stylingbureau;Willeskop 77;Montfoort;30272422;;;;;
2024;3417ME;1;473800;;;;;;;;;
2024;3417XG;1;440400;;;;;;;;;
2024;3421VJ;1;167000;;;;;;;;;
2024;3425EN;1;385000;;;;;;;;;
2024;3425TG;1;694761;;;;;;;;;
2024;3444BC;1;545600;Manege Morgenstond;Geestdorp 10 A;;;0348-430661;;;;
2024;3449HJ;1;122500;;;;;;;;;
2024;3451GA;1;231200;;;;;;;;;
2024;3451HJ;1;814120;;;;;;;;;
2024;3454HX;2;1948000;;;;;;;;;
2024;3455RM;1;141500;;;;;;;;;
2024;3455RN;1;109020;;;;;;;;;
2024;3467PC;1;116000;;;;;;;;;
2024;3471GV;1;26300;;;;;;;;;
2024;3471HJ;1;43500;;;;;;;;;
2024;3481BC;1;74000;;;;;;;;;
2024;3481CT;1;1162500;;;;;;;;;
2024;3481GW;1;358000;A De Wit Paardenfokkerij;Dorpeldijk 6;Harmelen;58055819;;;;;
2024;3481LD;1;22000;Merel Massop Dressage;Reijerscop 9 B;Harmelen;70697779;;;;;
2024;3481LE;2;107500;Ponycentrum Van Eck;Reijerscop 18;Harmelen;30148682;;;;;
2024;3481LN;1;186600;;;;;;;;;
2024;3481LR;1;132300;Vof Nieuwpoort Bos;Breudijk 52;Harmelen;30284950;;;;;
2024;3566MH;1;180400;Manege 't Hoogt;Gageldijk 103 A;;;030-8790547;;;;
2024;3573PS;1;325700;;;;;;;;;
2024;3573PT;1;438400;;;;;;;;;
2024;3581BG;1;743400;;;;;;;;;
2024;3584AB;1;52000;;;;;;;;;
2024;3584CL;1;1473800;;;;;;;;;
2024;3601XR;1;384500;;;;;;;;;
2024;3602AH;1;207700;;;;;;;;;
2024;3615AA;1;118000;Dierenarts Maarten Pieterse;Kooijdijk 21;Westbroek;57407835;;;;;
2024;3621LA;2;288800;Benz Fokkerij;Oud Aa 39 a;Breukelen;60164735;;;;;
2024;3621LE;1;812100;;;;;;;;;
2024;3632ER;1;432000;;;;;;;;;
2024;3632GA;1;67180;;;;;;;;;
2024;3633AK;1;278700;;;;;;;;;
2024;3640;1;208000;;;;;;;;;
2024;3641PH;1;17200;;;;;;;;;
2024;3641PR;1;767600;Manege Mariahoeve;Hoofdweg 85 C;;;0297-594466;;;;
2024;3641PX;1;195000;;;;;;;;;
2024;3641RA;1;235000;Mpm Straathof;Tienboerenweg 22;Mijdrecht;30175635;;;;;
2024;3641RK;1;90600;;;;;;;;;
2024;3645CL;1;141700;;;;;;;;;
2024;3646AL;1;170900;Paardenhouderij Van Der Eijk Maatschap;Proostdijerdwarsweg 3;Waverveen;30269728;;;;;
2024;3646AS;1;109700;;;;;;;;;
2024;3646AT;1;668800;Panta Rhei;1e Velddwarsweg 3;Waverveen;63301245;06 53225656;;;;
2024;3646AV;1;471920;;;;;;;;;
2024;3648NM;1;101800;Van Zijl Vof;Bovendijk 36;Wilnis;54303028;;;;;
2024;3707HN;1;449000;Manege Zeisterbos;Krakelingweg 21 A;;;030-6924356;;;;
2024;3707NZ;1;471500;;;;;;;;;
2024;3709JN;1;365400;Vof T Hoeveke;Bunsinglaan 17;Zeist;58876723;;;;;
2024;3722GX;1;379900;;;;;;;;;
2024;3723BB;1;547000;;;;;;;;;
2024;3723MC;1;879600;;;;;;;;;
2024;3731GB;1;229000;Stal Griftenstein;Utrechtseweg 371;De Bilt;30114240;;;;;
2024;3732HT;1;44000;;;;;;;;;
2024;3732HV;1;72000;;;;;;;;;
2024;3732HX;1;83300;Agm Huurdeman;Universiteitsweg 10;De Bilt;59166363;;;;;
2024;3734BP;1;326800;Prinses Maxima Manege;Dolderseweg 170;;;030-2291665;;;;
2024;3737AD;1;31600;T Spelt;Groenekanseweg 151;Groenekan;30271518;;;;;
2024;3737AJ;1;165100;;;;;;;;;
2024;3737BL;1;817000;Stal Van Brenk Bv;Voordorpsedijk 29;Groenekan;74470132;030 272 3755;;;;
2024;3737MD;1;712200;;;;;;;;;
2024;3737MN;1;921300;;;;;;;;;
2024;3737MR;1;472800;;;;;;;;;
2024;3737RH;1;77000;;;;;;;;;
2024;3738MA;1;277500;;;;;;;;;
2024;3738XL;1;208000;;;;;;;;;
2024;3743HJ;1;553200;;;;;;;;;
2024;3744BW;1;325000;;;;;;;;;
2024;3744ML;1;166280;;;;;;;;;
2024;3751LC;1;36650;Hoeve De Neerduist;Zevenhuizerstraat 287;Bunschoten-Spakenburg;77866843;;;;;
2024;3751LD;1;1505900;Stal Groenendaal BV;Zevenhuizerstraat 154;;;033-4564429;;;;
2024;3751LE;1;28140;;;;;;;;;
2024;3752LK;1;236000;Pensionstal Weidezicht;Bisschopsweg 20;Bunschoten-Spakenburg;32091083;;;;;
2024;3754NC;1;48000;Maatschap M Huijgen En M Huijgen Beekhuis;Eemdijk 3;Eemdijk;32154287;;;;;
2024;3755CP;1;615400;;;;;;;;;
2024;3755DA;2;26110300;Pensionstal De Paardenstek;Wakkerendijk 31;;;035-5314656;;;;
2024;3755DC;1;140860;;;;;;;;;
2024;3755DH;1;117000;;;;;;;;;
2024;3755DL;1;83000;;;;;;;;;
2024;3755MR;1;1822000;;;;;;;;;
2024;3755MT;1;182850;Suus Kuyten Horses Bv;Heidelaan 4;Eemnes;16074526;;;;;
2024;3755MX;1;40000;;;;;;;;;
2024;3755NM;3;2540100;Vof Stal Paardenvreugd;Geerenweg 10;Eemnes;32164734;06 20482281;;;;
2024;3755TA;1;48000;;;;;;;;;
2024;3762LB;2;1442700;Training en Handelstal Johan Laseur B.V.;Jachthuislaan 57;;;088- 02 24 300;;;;
2024;3766AD;1;864000;Nieuw Eldorado;Bosstraat 81;;;035-6018803;;;;
2024;3766HZ;1;102000;;;;;;;;;
2024;3768HD;1;371000;;;;;;;;;
2024;3768HL;1;360000;Ga Pronk;Birkstraat 112;Soest;54102634;;;;;
2024;3768HP;1;529000;;;;;;;;;
2024;3768ML;1;129000;;;;;;;;;
2024;3768MP;1;329000;;;;;;;;;
2024;3771RN;1;550900;;;;;;;;;
2024;3771RR;1;42740;Caitewick Bv;Donkervoorterweg 21;Barneveld;8154317;;;;;
2024;3771SH;1;451000;Manege De Burght;Valkseweg 128;;;0342-413175;;;;
2024;3771SK;1;72000;;;;;;;;;
2024;3774BV;1;38200;Stal Lanterne;Kootwijkerbroekerweg 84;Kootwijkerbroek;75782065;;;;;
2024;3774JP;1;138100;;;;;;;;;
2024;3774PK;1;128300;;;;;;;;;
2024;3774TK;1;293900;Wise Investment Bv;Meentweg 4;Kootwijkerbroek;32067907;;;;;
2024;3774TN;1;402600;;;;;;;;;
2024;3775KM;1;8000;;;;;;;;;
2024;3775KV;1;53040;;;;;;;;;
2024;3776LR;1;327500;Borgers Huisman;Wolweg 58;Stroe;65198085;;;;;
2024;3776MG;1;205000;Ck Stables Bv;Stroeërweg 37;Stroe;8143474;;;;;
2024;3776PX;1;268100;;;;;;;;;
2024;3776PZ;1;154130;;;;;;;;;
2024;3781LT;1;143180;;;;;;;;;
2024;3781NN;2;1150400;Stal Jacobs;Hunnenweg 40 A;Voorthuizen;8195043;06 16134328;;;;
2024;3781PC;1;745500;;;;;;;;;
2024;3784VA;1;195000;;;;;;;;;
2024;3784WN;1;235100;;;;;;;;;
2024;3785KJ;1;158700;;;;;;;;;
2024;3785KN;1;191500;;;;;;;;;
2024;3791PL;1;185000;;;;;;;;;
2024;3791VJ;1;257900;;;;;;;;;
2024;3794MV;1;591700;;;;;;;;;
2024;3816BW;1;410700;;;;;;;;;
2024;3818LA;1;292500;;;;;;;;;
2024;3826NE;1;101900;;;;;;;;;
2024;3831JS;1;188800;Maatschap Van Eijden;Hagenouwselaan 3;Leusden;32163291;;;;;
2024;3833AA;1;1388100;Pensionstal Klein Heiligenberg Vof;Ursulineweg 1;Leusden;53657462;06 51921782;;;;
2024;3833LD;1;524000;;;;;;;;;
2024;3835PP;1;433200;;;;;;;;;
2024;3836PA;1;350500;Woobhouse Stables;Koedijkerweg 50;Stoutenburg Noord;32087776;;;;;
2024;3846AV;1;3363224;;;;;;;;;
2024;3849MR;1;272900;Veldstar Stables;Berkenboomsweg 10;Hierden;32149588;;;;;
2024;3849NN;1;232000;Gb Zuurveld;Lage Enkweg 25;Hierden;8144460;;;;;
2024;3852AM;1;437950;;;;;;;;;
2024;3852PB;1;152400;;;;;;;;;
2024;3852PL;2;654980;KNHS;De Beek 125;;;577408300;;;;
2024;3853LX;1;200150;;;;;;;;;
2024;3853NV;1;162900;;;;;;;;;
2024;3853PG;1;78520;Jw Ruiter;Oude Telgterweg 263;Ermelo;64624781;;;;;
2024;3861MS;1;166900;H Van Dasselaar 2;Keienweg 23 a;Nijkerk;68793979;;;;;
2024;3862MS;1;551800;;;;;;;;;
2024;3862NE;1;147000;;;;;;;;;
2024;3862NN;1;412300;Stal Ludmillas Hoeve;Slichtenhorsterweg 27;Nijkerk;60726636;06 10908058;;;;
2024;3862NP;1;48500;Ellieshoeve;Slichtenhorsterweg 63;Nijkerk;32161232;;;;;
2024;3862NR;1;309970;;;;;;;;;
2024;3862PD;3;734430;;;;;;;;;
2024;3862PX;1;401700;Stal Bus;Drostenweg 4;Nijkerk;67055222;;;;;
2024;3862PZ;1;1217620;Stal Van Laar;Voorthuizerweg 2;Nijkerk;32079020;06 29044423;;;;
2024;3862RN;2;312990;Ellens Horse Care;Bloemendaalseweg 15;Nijkerk;66246911;;;;;
2024;3862RV;1;125980;;;;;;;;;
2024;3862RW;1;61000;Stal De Driesprong;Nieuwe Voorthuizerweg 6;Nijkerk;8061728;;;;;
2024;3864DZ;1;194000;;;;;;;;;
2024;3864MG;1;262800;Handelsstal T Van Den Brink Bv;Schoolstraat 28;Nijkerkerveen;8058734;;;;;
2024;3881RE;1;73900;;;;;;;;;
2024;3881ST;1;447300;Bacon Bacon Stables Bv;Schoonhoverweg 1;Putten;8147308;0341 357 466;;;;
2024;3882LE;1;64050;;;;;;;;;
2024;3882LH;1;75200;;;;;;;;;
2024;3882RA;1;736300;Stoeterij Oldenaller;Waterweg 9;Putten;8098467;0341 354 990;;;;
2024;3882RH;1;249800;Is Sporthorses Bv;Vanenburgerallee 4 A;Putten;70321612;;;;;
2024;3882RK;1;343080;;;;;;;;;
2024;3882RP;1;59480;;;;;;;;;
2024;3886PN;1;149600;;;;;;;;;
2024;3888MN;1;75000;;;;;;;;;
2024;3888MR;1;240260;De Wildtshof;Staverhul 40;Uddel;30243942;;;;;
2024;3896LA;1;554300;;;;;;;;;
2024;3896LS;1;218960;;;;;;;;;
2024;3896LT;1;948800;;;;;;;;;
2024;3897LD;1;324800;;;;;;;;;
2024;3897LT;1;1346700;;;;;;;;;
2024;3897LV;1;149000;;;;;;;;;
2024;3898LA;1;501200;Pj Te Molder;Ossenkampweg 12;Zeewolde;53922271;036 522 1483;;;;
2024;3903LD;1;60000;H Henken;Middelbuurtseweg 58;Veenendaal;30271917;;;;;
2024;3911SB;1;423700;;;;;;;;;
2024;3911SE;1;89200;;;;;;;;;
2024;3911TL;1;769300;;;;;;;;;
2024;3921DP;1;20000;;;;;;;;;
2024;3925MG;1;33350;;;;;;;;;
2024;3925MP;1;235000;;;;;;;;;
2024;3925ND;1;72900;;;;;;;;;
2024;3927CC;1;54500;;;;;;;;;
2024;3927CR;1;68900;T Blauwe Kieltje;Groeperweg 4 b;Renswoude;70594856;;;;;
2024;3927EH;1;492600;;;;;;;;;
2024;3931MT;1;103600;Hc Van Der Wardt;Parallelweg 134;Woudenberg;70236542;;;;;
2024;3931MZ;1;33400;Beek Ranch;Voskuilerdijk 8;Woudenberg;76182509;;;;;
2024;3931ND;1;556400;Forest Mountain Ranch;Klein Moorst 1;Woudenberg;32103293;06 23680431;;;;
2024;3931PD;1;90600;Honselaar Horses Bv;Laagerfseweg 87;Woudenberg;31042402;;;;;
2024;3931PE;1;597000;;;;;;;;;
2024;3931PX;1;1840900;Manege Groenewoude;Ekris 38;;;033-2861456;;;;
2024;3941DA;1;236500;Manege Den Toom;Drift 3;Doorn;30014942;;;;;
2024;3941MD;1;60000;;;;;;;;;
2024;3941PT;1;1001400;Firma Maat;Molenweg 9;Doorn;33207363;0343 522 002;;;;
2024;3941SP;1;233000;;;;;;;;;
2024;3947BB;1;54700;;;;;;;;;
2024;3951KE;1;711900;;;;;;;;;
